"gene","ensmble_gene_gps","trait_exwas_ei","trait_gps","gene_trait_pair_exwas_ei","gene_trait_pair_gps","gene_tait_pair_merged","source"
"AR","ENSG00000169083","Cancer of prostate",NA,"ENSG00000169083_Cancer of prostate",NA,"ENSG00000169083_Cancer of prostate","ExWAS, EI"
"MAD1L1","ENSG00000002822","Cancer of prostate",NA,"ENSG00000002822_Cancer of prostate",NA,"ENSG00000002822_Cancer of prostate","ExWAS, EI"
"MSMB","ENSG00000263639","Cancer of prostate",NA,"ENSG00000263639_Cancer of prostate",NA,"ENSG00000263639_Cancer of prostate","ExWAS, EI"
"MSR1","ENSG00000038945","Cancer of prostate",NA,"ENSG00000038945_Cancer of prostate",NA,"ENSG00000038945_Cancer of prostate","ExWAS, EI"
"MXI1","ENSG00000119950","Cancer of prostate",NA,"ENSG00000119950_Cancer of prostate",NA,"ENSG00000119950_Cancer of prostate","ExWAS, EI"
"NBN","ENSG00000104320","Cancer of prostate",NA,"ENSG00000104320_Cancer of prostate",NA,"ENSG00000104320_Cancer of prostate","ExWAS, EI"
"ZFHX3","ENSG00000140836","Cancer of prostate",NA,"ENSG00000140836_Cancer of prostate",NA,"ENSG00000140836_Cancer of prostate","ExWAS, EI"
"ATM","ENSG00000149311","Cancer of prostate",NA,"ENSG00000149311_Cancer of prostate",NA,"ENSG00000149311_Cancer of prostate","ExWAS, EI"
"PTEN","ENSG00000171862","Cancer of prostate",NA,"ENSG00000171862_Cancer of prostate",NA,"ENSG00000171862_Cancer of prostate","ExWAS, EI"
"RAD51D","ENSG00000185379","Cancer of prostate",NA,"ENSG00000185379_Cancer of prostate",NA,"ENSG00000185379_Cancer of prostate","ExWAS, EI"
"SLC22A18","ENSG00000110628","Breast cancer",NA,"ENSG00000110628_Breast cancer",NA,"ENSG00000110628_Breast cancer","ExWAS, EI"
"BRCA1","ENSG00000012048","Breast cancer",NA,"ENSG00000012048_Breast cancer",NA,"ENSG00000012048_Breast cancer","ExWAS, EI"
"BRCA2","ENSG00000139618","Breast cancer",NA,"ENSG00000139618_Breast cancer",NA,"ENSG00000139618_Breast cancer","ExWAS, EI"
"TP53","ENSG00000141510","Breast cancer",NA,"ENSG00000141510_Breast cancer",NA,"ENSG00000141510_Breast cancer","ExWAS, EI"
"XRCC2","ENSG00000196584","Breast cancer",NA,"ENSG00000196584_Breast cancer",NA,"ENSG00000196584_Breast cancer","ExWAS, EI"
"XRCC3","ENSG00000126215","Breast cancer",NA,"ENSG00000126215_Breast cancer",NA,"ENSG00000126215_Breast cancer","ExWAS, EI"
"CASP8","ENSG00000064012","Breast cancer",NA,"ENSG00000064012_Breast cancer",NA,"ENSG00000064012_Breast cancer","ExWAS, EI"
"RB1CC1","ENSG00000023287","Breast cancer",NA,"ENSG00000023287_Breast cancer",NA,"ENSG00000023287_Breast cancer","ExWAS, EI"
"CHEK2","ENSG00000183765","Breast cancer",NA,"ENSG00000183765_Breast cancer",NA,"ENSG00000183765_Breast cancer","ExWAS, EI"
"CDH1","ENSG00000039068","Breast cancer",NA,"ENSG00000039068_Breast cancer",NA,"ENSG00000039068_Breast cancer","ExWAS, EI"
"BRIP1","ENSG00000136492","Breast cancer",NA,"ENSG00000136492_Breast cancer",NA,"ENSG00000136492_Breast cancer","ExWAS, EI"
"PALB2","ENSG00000083093","Breast cancer",NA,"ENSG00000083093_Breast cancer",NA,"ENSG00000083093_Breast cancer","ExWAS, EI"
"ESR1","ENSG00000091831","Breast cancer",NA,"ENSG00000091831_Breast cancer",NA,"ENSG00000091831_Breast cancer","ExWAS, EI"
"KLLN","ENSG00000227268","Breast cancer",NA,"ENSG00000227268_Breast cancer",NA,"ENSG00000227268_Breast cancer","ExWAS, EI"
"AKT1","ENSG00000142208","Breast cancer",NA,"ENSG00000142208_Breast cancer",NA,"ENSG00000142208_Breast cancer","ExWAS, EI"
"HMMR","ENSG00000072571","Breast cancer",NA,"ENSG00000072571_Breast cancer",NA,"ENSG00000072571_Breast cancer","ExWAS, EI"
"KRAS","ENSG00000133703","Breast cancer",NA,"ENSG00000133703_Breast cancer",NA,"ENSG00000133703_Breast cancer","ExWAS, EI"
"ATM","ENSG00000149311","Breast cancer",NA,"ENSG00000149311_Breast cancer",NA,"ENSG00000149311_Breast cancer","ExWAS, EI"
"PHB1","ENSG00000167085","Breast cancer",NA,"ENSG00000167085_Breast cancer",NA,"ENSG00000167085_Breast cancer","ExWAS, EI"
"PIK3CA","ENSG00000121879","Breast cancer",NA,"ENSG00000121879_Breast cancer",NA,"ENSG00000121879_Breast cancer","ExWAS, EI"
"PPM1D","ENSG00000170836","Breast cancer",NA,"ENSG00000170836_Breast cancer",NA,"ENSG00000170836_Breast cancer","ExWAS, EI"
"BARD1","ENSG00000138376","Breast cancer",NA,"ENSG00000138376_Breast cancer",NA,"ENSG00000138376_Breast cancer","ExWAS, EI"
"PTEN","ENSG00000171862","Breast cancer",NA,"ENSG00000171862_Breast cancer",NA,"ENSG00000171862_Breast cancer","ExWAS, EI"
"RAD51","ENSG00000051180","Breast cancer",NA,"ENSG00000051180_Breast cancer",NA,"ENSG00000051180_Breast cancer","ExWAS, EI"
"RAD54L","ENSG00000085999","Breast cancer",NA,"ENSG00000085999_Breast cancer",NA,"ENSG00000085999_Breast cancer","ExWAS, EI"
"ABCA1","ENSG00000165029","tg",NA,"ENSG00000165029_tg",NA,"ENSG00000165029_tg","ExWAS, EI"
"ANGPTL3","ENSG00000132855","tg",NA,"ENSG00000132855_tg",NA,"ENSG00000132855_tg","ExWAS, EI"
"APOA2","ENSG00000158874","tg",NA,"ENSG00000158874_tg",NA,"ENSG00000158874_tg","ExWAS, EI"
"APOA5","ENSG00000110243","tg",NA,"ENSG00000110243_tg",NA,"ENSG00000110243_tg","ExWAS, EI"
"APOB","ENSG00000291544","tg",NA,"ENSG00000291544_tg",NA,"ENSG00000291544_tg","ExWAS, EI"
"APOB","ENSG00000084674","tg",NA,"ENSG00000084674_tg",NA,"ENSG00000084674_tg","ExWAS, EI"
"APOE","ENSG00000130203","tg",NA,"ENSG00000130203_tg",NA,"ENSG00000130203_tg","ExWAS, EI"
"DHCR7","ENSG00000172893","tg",NA,"ENSG00000172893_tg",NA,"ENSG00000172893_tg","ExWAS, EI"
"EPHX2","ENSG00000120915","tg",NA,"ENSG00000120915_tg",NA,"ENSG00000120915_tg","ExWAS, EI"
"GHR","ENSG00000112964","tg",NA,"ENSG00000112964_tg",NA,"ENSG00000112964_tg","ExWAS, EI"
"ITIH4","ENSG00000055955","tg",NA,"ENSG00000055955_tg",NA,"ENSG00000055955_tg","ExWAS, EI"
"LDLR","ENSG00000130164","tg",NA,"ENSG00000130164_tg",NA,"ENSG00000130164_tg","ExWAS, EI"
"LDLRAP1","ENSG00000157978","tg",NA,"ENSG00000157978_tg",NA,"ENSG00000157978_tg","ExWAS, EI"
"LIPA","ENSG00000107798","tg",NA,"ENSG00000107798_tg",NA,"ENSG00000107798_tg","ExWAS, EI"
"LIPI","ENSG00000188992","tg",NA,"ENSG00000188992_tg",NA,"ENSG00000188992_tg","ExWAS, EI"
"LPL","ENSG00000175445","tg",NA,"ENSG00000175445_tg",NA,"ENSG00000175445_tg","ExWAS, EI"
"MTTP","ENSG00000138823","tg",NA,"ENSG00000138823_tg",NA,"ENSG00000138823_tg","ExWAS, EI"
"PPP1R17","ENSG00000106341","tg",NA,"ENSG00000106341_tg",NA,"ENSG00000106341_tg","ExWAS, EI"
"APPL1","ENSG00000157500","Diabetes mellitus",NA,"ENSG00000157500_Diabetes mellitus",NA,"ENSG00000157500_Diabetes mellitus","ExWAS, EI"
"BLK","ENSG00000285369","Diabetes mellitus",NA,"ENSG00000285369_Diabetes mellitus",NA,"ENSG00000285369_Diabetes mellitus","ExWAS, EI"
"BLK","ENSG00000136573","Diabetes mellitus",NA,"ENSG00000136573_Diabetes mellitus",NA,"ENSG00000136573_Diabetes mellitus","ExWAS, EI"
"CEL","ENSG00000170835","Diabetes mellitus",NA,"ENSG00000170835_Diabetes mellitus",NA,"ENSG00000170835_Diabetes mellitus","ExWAS, EI"
"CISD2","ENSG00000145354","Diabetes mellitus",NA,"ENSG00000145354_Diabetes mellitus",NA,"ENSG00000145354_Diabetes mellitus","ExWAS, EI"
"CP","ENSG00000047457","Diabetes mellitus",NA,"ENSG00000047457_Diabetes mellitus",NA,"ENSG00000047457_Diabetes mellitus","ExWAS, EI"
"EIF2AK3","ENSG00000172071","Diabetes mellitus",NA,"ENSG00000172071_Diabetes mellitus",NA,"ENSG00000172071_Diabetes mellitus","ExWAS, EI"
"GCGR","ENSG00000288269","Diabetes mellitus",NA,"ENSG00000288269_Diabetes mellitus",NA,"ENSG00000288269_Diabetes mellitus","ExWAS, EI"
"GCGR","ENSG00000215644","Diabetes mellitus",NA,"ENSG00000215644_Diabetes mellitus",NA,"ENSG00000215644_Diabetes mellitus","ExWAS, EI"
"GLIS3","ENSG00000107249","Diabetes mellitus",NA,"ENSG00000107249_Diabetes mellitus",NA,"ENSG00000107249_Diabetes mellitus","ExWAS, EI"
"GLUD1","ENSG00000148672","Diabetes mellitus",NA,"ENSG00000148672_Diabetes mellitus",NA,"ENSG00000148672_Diabetes mellitus","ExWAS, EI"
"HADH","ENSG00000138796","Diabetes mellitus",NA,"ENSG00000138796_Diabetes mellitus",NA,"ENSG00000138796_Diabetes mellitus","ExWAS, EI"
"HNF1B","ENSG00000276194","Diabetes mellitus",NA,"ENSG00000276194_Diabetes mellitus",NA,"ENSG00000276194_Diabetes mellitus","ExWAS, EI"
"INS","ENSG00000254647","Diabetes mellitus",NA,"ENSG00000254647_Diabetes mellitus",NA,"ENSG00000254647_Diabetes mellitus","ExWAS, EI"
"INSR","ENSG00000171105","Diabetes mellitus",NA,"ENSG00000171105_Diabetes mellitus",NA,"ENSG00000171105_Diabetes mellitus","ExWAS, EI"
"KLF11","ENSG00000172059","Diabetes mellitus",NA,"ENSG00000172059_Diabetes mellitus",NA,"ENSG00000172059_Diabetes mellitus","ExWAS, EI"
"MTTP","ENSG00000138823","Diabetes mellitus",NA,"ENSG00000138823_Diabetes mellitus",NA,"ENSG00000138823_Diabetes mellitus","ExWAS, EI"
"PLAGL1","ENSG00000118495","Diabetes mellitus",NA,"ENSG00000118495_Diabetes mellitus",NA,"ENSG00000118495_Diabetes mellitus","ExWAS, EI"
"PLIN1","ENSG00000166819","Diabetes mellitus",NA,"ENSG00000166819_Diabetes mellitus",NA,"ENSG00000166819_Diabetes mellitus","ExWAS, EI"
"SLC16A1","ENSG00000281917","Diabetes mellitus",NA,"ENSG00000281917_Diabetes mellitus",NA,"ENSG00000281917_Diabetes mellitus","ExWAS, EI"
"SLC16A1","ENSG00000155380","Diabetes mellitus",NA,"ENSG00000155380_Diabetes mellitus",NA,"ENSG00000155380_Diabetes mellitus","ExWAS, EI"
"TPI1","ENSG00000111669","Diabetes mellitus",NA,"ENSG00000111669_Diabetes mellitus",NA,"ENSG00000111669_Diabetes mellitus","ExWAS, EI"
"ZFP57","ENSG00000226858","Diabetes mellitus",NA,"ENSG00000226858_Diabetes mellitus",NA,"ENSG00000226858_Diabetes mellitus","ExWAS, EI"
"ZFP57","ENSG00000223852","Diabetes mellitus",NA,"ENSG00000223852_Diabetes mellitus",NA,"ENSG00000223852_Diabetes mellitus","ExWAS, EI"
"ZFP57","ENSG00000232099","Diabetes mellitus",NA,"ENSG00000232099_Diabetes mellitus",NA,"ENSG00000232099_Diabetes mellitus","ExWAS, EI"
"ZFP57","ENSG00000227858","Diabetes mellitus",NA,"ENSG00000227858_Diabetes mellitus",NA,"ENSG00000227858_Diabetes mellitus","ExWAS, EI"
"ZFP57","ENSG00000223858","Diabetes mellitus",NA,"ENSG00000223858_Diabetes mellitus",NA,"ENSG00000223858_Diabetes mellitus","ExWAS, EI"
"ZFP57","ENSG00000234669","Diabetes mellitus",NA,"ENSG00000234669_Diabetes mellitus",NA,"ENSG00000234669_Diabetes mellitus","ExWAS, EI"
"ZFP57","ENSG00000206510","Diabetes mellitus",NA,"ENSG00000206510_Diabetes mellitus",NA,"ENSG00000206510_Diabetes mellitus","ExWAS, EI"
"ZFP57","ENSG00000204644","Diabetes mellitus",NA,"ENSG00000204644_Diabetes mellitus",NA,"ENSG00000204644_Diabetes mellitus","ExWAS, EI"
"ADD1","ENSG00000087274","sbp",NA,"ENSG00000087274_sbp",NA,"ENSG00000087274_sbp","ExWAS, EI"
"AGT","ENSG00000135744","sbp",NA,"ENSG00000135744_sbp",NA,"ENSG00000135744_sbp","ExWAS, EI"
"AGTR1","ENSG00000144891","sbp",NA,"ENSG00000144891_sbp",NA,"ENSG00000144891_sbp","ExWAS, EI"
"ATP1B1","ENSG00000143153","sbp",NA,"ENSG00000143153_sbp",NA,"ENSG00000143153_sbp","ExWAS, EI"
"CYP3A5","ENSG00000106258","sbp",NA,"ENSG00000106258_sbp",NA,"ENSG00000106258_sbp","ExWAS, EI"
"ECE1","ENSG00000117298","sbp",NA,"ENSG00000117298_sbp",NA,"ENSG00000117298_sbp","ExWAS, EI"
"GNB3","ENSG00000111664","sbp",NA,"ENSG00000111664_sbp",NA,"ENSG00000111664_sbp","ExWAS, EI"
"HSD11B2","ENSG00000176387","sbp",NA,"ENSG00000176387_sbp",NA,"ENSG00000176387_sbp","ExWAS, EI"
"NOS2","ENSG00000007171","sbp",NA,"ENSG00000007171_sbp",NA,"ENSG00000007171_sbp","ExWAS, EI"
"NOS3","ENSG00000164867","sbp",NA,"ENSG00000164867_sbp",NA,"ENSG00000164867_sbp","ExWAS, EI"
"PLIN1","ENSG00000166819","sbp",NA,"ENSG00000166819_sbp",NA,"ENSG00000166819_sbp","ExWAS, EI"
"PTGIS","ENSG00000124212","sbp",NA,"ENSG00000124212_sbp",NA,"ENSG00000124212_sbp","ExWAS, EI"
"RGS5","ENSG00000143248","sbp",NA,"ENSG00000143248_sbp",NA,"ENSG00000143248_sbp","ExWAS, EI"
"SCNN1B","ENSG00000168447","sbp",NA,"ENSG00000168447_sbp",NA,"ENSG00000168447_sbp","ExWAS, EI"
"SERPINA6","ENSG00000277405","sbp",NA,"ENSG00000277405_sbp",NA,"ENSG00000277405_sbp","ExWAS, EI"
"SERPINA6","ENSG00000170099","sbp",NA,"ENSG00000170099_sbp",NA,"ENSG00000170099_sbp","ExWAS, EI"
"ABCB7","ENSG00000131269","rbc",NA,"ENSG00000131269_rbc",NA,"ENSG00000131269_rbc","ExWAS, EI"
"AK1","ENSG00000106992","rbc",NA,"ENSG00000106992_rbc",NA,"ENSG00000106992_rbc","ExWAS, EI"
"ALAS2","ENSG00000158578","rbc",NA,"ENSG00000158578_rbc",NA,"ENSG00000158578_rbc","ExWAS, EI"
"AMN","ENSG00000166126","rbc",NA,"ENSG00000166126_rbc",NA,"ENSG00000166126_rbc","ExWAS, EI"
"ANK1","ENSG00000029534","rbc",NA,"ENSG00000029534_rbc",NA,"ENSG00000029534_rbc","ExWAS, EI"
"BRCA2","ENSG00000139618","rbc",NA,"ENSG00000139618_rbc",NA,"ENSG00000139618_rbc","ExWAS, EI"
"BRIP1","ENSG00000136492","rbc",NA,"ENSG00000136492_rbc",NA,"ENSG00000136492_rbc","ExWAS, EI"
"CDAN1","ENSG00000140326","rbc",NA,"ENSG00000140326_rbc",NA,"ENSG00000140326_rbc","ExWAS, EI"
"CUBN","ENSG00000107611","rbc",NA,"ENSG00000107611_rbc",NA,"ENSG00000107611_rbc","ExWAS, EI"
"DHFR","ENSG00000228716","rbc",NA,"ENSG00000228716_rbc",NA,"ENSG00000228716_rbc","ExWAS, EI"
"EGLN1","ENSG00000135766","rbc",NA,"ENSG00000135766_rbc",NA,"ENSG00000135766_rbc","ExWAS, EI"
"EPAS1","ENSG00000116016","rbc",NA,"ENSG00000116016_rbc",NA,"ENSG00000116016_rbc","ExWAS, EI"
"EPB42","ENSG00000166947","rbc",NA,"ENSG00000166947_rbc",NA,"ENSG00000166947_rbc","ExWAS, EI"
"EPO","ENSG00000130427","rbc",NA,"ENSG00000130427_rbc",NA,"ENSG00000130427_rbc","ExWAS, EI"
"EPOR","ENSG00000187266","rbc",NA,"ENSG00000187266_rbc",NA,"ENSG00000187266_rbc","ExWAS, EI"
"ERCC4","ENSG00000175595","rbc",NA,"ENSG00000175595_rbc",NA,"ENSG00000175595_rbc","ExWAS, EI"
"FANCA","ENSG00000187741","rbc",NA,"ENSG00000187741_rbc",NA,"ENSG00000187741_rbc","ExWAS, EI"
"FANCB","ENSG00000181544","rbc",NA,"ENSG00000181544_rbc",NA,"ENSG00000181544_rbc","ExWAS, EI"
"FANCC","ENSG00000158169","rbc",NA,"ENSG00000158169_rbc",NA,"ENSG00000158169_rbc","ExWAS, EI"
"FANCD2","ENSG00000144554","rbc",NA,"ENSG00000144554_rbc",NA,"ENSG00000144554_rbc","ExWAS, EI"
"FANCE","ENSG00000112039","rbc",NA,"ENSG00000112039_rbc",NA,"ENSG00000112039_rbc","ExWAS, EI"
"FANCF","ENSG00000183161","rbc",NA,"ENSG00000183161_rbc",NA,"ENSG00000183161_rbc","ExWAS, EI"
"FANCG","ENSG00000221829","rbc",NA,"ENSG00000221829_rbc",NA,"ENSG00000221829_rbc","ExWAS, EI"
"FANCI","ENSG00000140525","rbc",NA,"ENSG00000140525_rbc",NA,"ENSG00000140525_rbc","ExWAS, EI"
"FANCL","ENSG00000115392","rbc",NA,"ENSG00000115392_rbc",NA,"ENSG00000115392_rbc","ExWAS, EI"
"G6PD","ENSG00000160211","rbc",NA,"ENSG00000160211_rbc",NA,"ENSG00000160211_rbc","ExWAS, EI"
"GLRX5","ENSG00000182512","rbc",NA,"ENSG00000182512_rbc",NA,"ENSG00000182512_rbc","ExWAS, EI"
"GPI","ENSG00000282019","rbc",NA,"ENSG00000282019_rbc",NA,"ENSG00000282019_rbc","ExWAS, EI"
"GPI","ENSG00000105220","rbc",NA,"ENSG00000105220_rbc",NA,"ENSG00000105220_rbc","ExWAS, EI"
"HSPA9","ENSG00000113013","rbc",NA,"ENSG00000113013_rbc",NA,"ENSG00000113013_rbc","ExWAS, EI"
"JAK2","ENSG00000096968","rbc",NA,"ENSG00000096968_rbc",NA,"ENSG00000096968_rbc","ExWAS, EI"
"KLF1","ENSG00000105610","rbc",NA,"ENSG00000105610_rbc",NA,"ENSG00000105610_rbc","ExWAS, EI"
"MAD2L2","ENSG00000116670","rbc",NA,"ENSG00000116670_rbc",NA,"ENSG00000116670_rbc","ExWAS, EI"
"NT5C3A","ENSG00000122643","rbc",NA,"ENSG00000122643_rbc",NA,"ENSG00000122643_rbc","ExWAS, EI"
"PALB2","ENSG00000083093","rbc",NA,"ENSG00000083093_rbc",NA,"ENSG00000083093_rbc","ExWAS, EI"
"PKLR","ENSG00000262785","rbc",NA,"ENSG00000262785_rbc",NA,"ENSG00000262785_rbc","ExWAS, EI"
"PKLR","ENSG00000143627","rbc",NA,"ENSG00000143627_rbc",NA,"ENSG00000143627_rbc","ExWAS, EI"
"RAD51","ENSG00000051180","rbc",NA,"ENSG00000051180_rbc",NA,"ENSG00000051180_rbc","ExWAS, EI"
"RAD51C","ENSG00000108384","rbc",NA,"ENSG00000108384_rbc",NA,"ENSG00000108384_rbc","ExWAS, EI"
"RHAG","ENSG00000112077","rbc",NA,"ENSG00000112077_rbc",NA,"ENSG00000112077_rbc","ExWAS, EI"
"RPL11","ENSG00000142676","rbc",NA,"ENSG00000142676_rbc",NA,"ENSG00000142676_rbc","ExWAS, EI"
"RPL15","ENSG00000174748","rbc",NA,"ENSG00000174748_rbc",NA,"ENSG00000174748_rbc","ExWAS, EI"
"RPL26","ENSG00000161970","rbc",NA,"ENSG00000161970_rbc",NA,"ENSG00000161970_rbc","ExWAS, EI"
"RPL35A","ENSG00000182899","rbc",NA,"ENSG00000182899_rbc",NA,"ENSG00000182899_rbc","ExWAS, EI"
"RPL5","ENSG00000122406","rbc",NA,"ENSG00000122406_rbc",NA,"ENSG00000122406_rbc","ExWAS, EI"
"RPS10","ENSG00000124614","rbc",NA,"ENSG00000124614_rbc",NA,"ENSG00000124614_rbc","ExWAS, EI"
"RPS14","ENSG00000164587","rbc",NA,"ENSG00000164587_rbc",NA,"ENSG00000164587_rbc","ExWAS, EI"
"RPS17","ENSG00000278229","rbc",NA,"ENSG00000278229_rbc",NA,"ENSG00000278229_rbc","ExWAS, EI"
"RPS17","ENSG00000182774","rbc",NA,"ENSG00000182774_rbc",NA,"ENSG00000182774_rbc","ExWAS, EI"
"RPS19","ENSG00000105372","rbc",NA,"ENSG00000105372_rbc",NA,"ENSG00000105372_rbc","ExWAS, EI"
"RPS24","ENSG00000138326","rbc",NA,"ENSG00000138326_rbc",NA,"ENSG00000138326_rbc","ExWAS, EI"
"RPS26","ENSG00000197728","rbc",NA,"ENSG00000197728_rbc",NA,"ENSG00000197728_rbc","ExWAS, EI"
"RPS29","ENSG00000213741","rbc",NA,"ENSG00000213741_rbc",NA,"ENSG00000213741_rbc","ExWAS, EI"
"RPS7","ENSG00000171863","rbc",NA,"ENSG00000171863_rbc",NA,"ENSG00000171863_rbc","ExWAS, EI"
"SEC23B","ENSG00000101310","rbc",NA,"ENSG00000101310_rbc",NA,"ENSG00000101310_rbc","ExWAS, EI"
"SH2B3","ENSG00000111252","rbc",NA,"ENSG00000111252_rbc",NA,"ENSG00000111252_rbc","ExWAS, EI"
"SLC11A2","ENSG00000110911","rbc",NA,"ENSG00000110911_rbc",NA,"ENSG00000110911_rbc","ExWAS, EI"
"SLC25A38","ENSG00000144659","rbc",NA,"ENSG00000144659_rbc",NA,"ENSG00000144659_rbc","ExWAS, EI"
"SLC4A1","ENSG00000004939","rbc",NA,"ENSG00000004939_rbc",NA,"ENSG00000004939_rbc","ExWAS, EI"
"SLX4","ENSG00000188827","rbc",NA,"ENSG00000188827_rbc",NA,"ENSG00000188827_rbc","ExWAS, EI"
"SPTA1","ENSG00000163554","rbc",NA,"ENSG00000163554_rbc",NA,"ENSG00000163554_rbc","ExWAS, EI"
"SPTB","ENSG00000070182","rbc",NA,"ENSG00000070182_rbc",NA,"ENSG00000070182_rbc","ExWAS, EI"
"STEAP3","ENSG00000115107","rbc",NA,"ENSG00000115107_rbc",NA,"ENSG00000115107_rbc","ExWAS, EI"
"TRNT1","ENSG00000072756","rbc",NA,"ENSG00000072756_rbc",NA,"ENSG00000072756_rbc","ExWAS, EI"
"UBE2T","ENSG00000077152","rbc",NA,"ENSG00000077152_rbc",NA,"ENSG00000077152_rbc","ExWAS, EI"
"VHL","ENSG00000134086","rbc",NA,"ENSG00000134086_rbc",NA,"ENSG00000134086_rbc","ExWAS, EI"
"XRCC2","ENSG00000196584","rbc",NA,"ENSG00000196584_rbc",NA,"ENSG00000196584_rbc","ExWAS, EI"
"ABCA1","ENSG00000165029","ldl",NA,"ENSG00000165029_ldl",NA,"ENSG00000165029_ldl","ExWAS, EI"
"ANGPTL3","ENSG00000132855","ldl",NA,"ENSG00000132855_ldl",NA,"ENSG00000132855_ldl","ExWAS, EI"
"APOA2","ENSG00000158874","ldl",NA,"ENSG00000158874_ldl",NA,"ENSG00000158874_ldl","ExWAS, EI"
"APOA5","ENSG00000110243","ldl",NA,"ENSG00000110243_ldl",NA,"ENSG00000110243_ldl","ExWAS, EI"
"APOB","ENSG00000291544","ldl",NA,"ENSG00000291544_ldl",NA,"ENSG00000291544_ldl","ExWAS, EI"
"APOB","ENSG00000084674","ldl",NA,"ENSG00000084674_ldl",NA,"ENSG00000084674_ldl","ExWAS, EI"
"APOE","ENSG00000130203","ldl",NA,"ENSG00000130203_ldl",NA,"ENSG00000130203_ldl","ExWAS, EI"
"DHCR7","ENSG00000172893","ldl",NA,"ENSG00000172893_ldl",NA,"ENSG00000172893_ldl","ExWAS, EI"
"EPHX2","ENSG00000120915","ldl",NA,"ENSG00000120915_ldl",NA,"ENSG00000120915_ldl","ExWAS, EI"
"GHR","ENSG00000112964","ldl",NA,"ENSG00000112964_ldl",NA,"ENSG00000112964_ldl","ExWAS, EI"
"ITIH4","ENSG00000055955","ldl",NA,"ENSG00000055955_ldl",NA,"ENSG00000055955_ldl","ExWAS, EI"
"LDLR","ENSG00000130164","ldl",NA,"ENSG00000130164_ldl",NA,"ENSG00000130164_ldl","ExWAS, EI"
"LDLRAP1","ENSG00000157978","ldl",NA,"ENSG00000157978_ldl",NA,"ENSG00000157978_ldl","ExWAS, EI"
"LIPA","ENSG00000107798","ldl",NA,"ENSG00000107798_ldl",NA,"ENSG00000107798_ldl","ExWAS, EI"
"LIPI","ENSG00000188992","ldl",NA,"ENSG00000188992_ldl",NA,"ENSG00000188992_ldl","ExWAS, EI"
"LPL","ENSG00000175445","ldl",NA,"ENSG00000175445_ldl",NA,"ENSG00000175445_ldl","ExWAS, EI"
"MTTP","ENSG00000138823","ldl",NA,"ENSG00000138823_ldl",NA,"ENSG00000138823_ldl","ExWAS, EI"
"PPP1R17","ENSG00000106341","ldl",NA,"ENSG00000106341_ldl",NA,"ENSG00000106341_ldl","ExWAS, EI"
"ADAMTS10","ENSG00000142303","height",NA,"ENSG00000142303_height",NA,"ENSG00000142303_height","ExWAS, EI"
"ADAMTS17","ENSG00000140470","height",NA,"ENSG00000140470_height",NA,"ENSG00000140470_height","ExWAS, EI"
"ANKRD11","ENSG00000167522","height",NA,"ENSG00000167522_height",NA,"ENSG00000167522_height","ExWAS, EI"
"B3GALT6","ENSG00000176022","height",NA,"ENSG00000176022_height",NA,"ENSG00000176022_height","ExWAS, EI"
"BLM","ENSG00000197299","height",NA,"ENSG00000197299_height",NA,"ENSG00000197299_height","ExWAS, EI"
"BRAF","ENSG00000157764","height",NA,"ENSG00000157764_height",NA,"ENSG00000157764_height","ExWAS, EI"
"CANT1","ENSG00000171302","height",NA,"ENSG00000171302_height",NA,"ENSG00000171302_height","ExWAS, EI"
"CHRNA1","ENSG00000138435","height",NA,"ENSG00000138435_height",NA,"ENSG00000138435_height","ExWAS, EI"
"CHRND","ENSG00000135902","height",NA,"ENSG00000135902_height",NA,"ENSG00000135902_height","ExWAS, EI"
"CHRNG","ENSG00000196811","height",NA,"ENSG00000196811_height",NA,"ENSG00000196811_height","ExWAS, EI"
"CHST3","ENSG00000122863","height",NA,"ENSG00000122863_height",NA,"ENSG00000122863_height","ExWAS, EI"
"COL2A1","ENSG00000139219","height",NA,"ENSG00000139219_height",NA,"ENSG00000139219_height","ExWAS, EI"
"CREBBP","ENSG00000005339","height",NA,"ENSG00000005339_height",NA,"ENSG00000005339_height","ExWAS, EI"
"CUL4B","ENSG00000158290","height",NA,"ENSG00000158290_height",NA,"ENSG00000158290_height","ExWAS, EI"
"DVL1","ENSG00000107404","height",NA,"ENSG00000107404_height",NA,"ENSG00000107404_height","ExWAS, EI"
"DVL3","ENSG00000161202","height",NA,"ENSG00000161202_height",NA,"ENSG00000161202_height","ExWAS, EI"
"EP300","ENSG00000100393","height",NA,"ENSG00000100393_height",NA,"ENSG00000100393_height","ExWAS, EI"
"FBN1","ENSG00000166147","height",NA,"ENSG00000166147_height",NA,"ENSG00000166147_height","ExWAS, EI"
"FGFR3","ENSG00000068078","height",NA,"ENSG00000068078_height",NA,"ENSG00000068078_height","ExWAS, EI"
"FLNB","ENSG00000136068","height",NA,"ENSG00000136068_height",NA,"ENSG00000136068_height","ExWAS, EI"
"GH1","ENSG00000259384","height",NA,"ENSG00000259384_height",NA,"ENSG00000259384_height","ExWAS, EI"
"GHR","ENSG00000112964","height",NA,"ENSG00000112964_height",NA,"ENSG00000112964_height","ExWAS, EI"
"GNAS","ENSG00000087460","height",NA,"ENSG00000087460_height",NA,"ENSG00000087460_height","ExWAS, EI"
"IGBP1","ENSG00000089289","height",NA,"ENSG00000089289_height",NA,"ENSG00000089289_height","ExWAS, EI"
